NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37,5.0581,-9.0037,-10.32,-5.4495,-5.3415,-8.2992,-8.3431,-12.361,-10.902,10.905,-19.064,14.904,-18.65,-19.364,-4.1297,-12.397
38,6.1533,-6.1492,-1.3297,-2.1185,-3.3184,-4.1561,-5.0911,-3.3543,-4.6824,7.169,0.68616,16.637,1.4921,0.49171,5.739,2.6677
39,9.2465,-9.3665,-6.2979,-7.7436,-10.218,-8.5311,-13.907,-11.325,-5.2162,2.0739,-8.721,12.347,-9.9528,-8.1999,5.6564,-3.4969
40,-8.7058,24.986,21.823,22.068,17.92,23.756,14.54,14.194,-0.30261,-5.842,15.642,-1.5704,15.907,13.588,-2.0028,10.258
41,-8.1057,4.8051,14.897,4.1183,4.2056,7.6135,10.338,10.836,15.564,-15.578,23.165,-10.482,21.947,21.117,-2.7504,15.059
42,-6.1115,3.4549,6.1666,2.9134,2.2965,6.7015,-3.0114,2.2453,17.104,-1.7049,-0.073412,4.9149,-3.2303,-5.57,-6.2362,-5.3745
43,-6.0819,13.787,9.3654,11.022,10.194,15.654,6.9071,11.371,8.2046,-10.553,13.706,-7.5482,10.592,8.4274,-6.8713,6.1717
44,-0.090768,-2.9559,-0.99172,-5.6564,-5.4827,-0.091269,2.303,7.6221,12.858,-6.3225,10.907,-2.2753,7.3054,7.0721,5.6221,4.3687
45,6.9042,-11.182,-17.058,-10.14,-5.8927,-11.888,-17.402,-11.586,-34.802,5.7458,-19.748,1.0895,-17.779,-18.427,-17.879,-17.904
46,12.298,-20.146,-17.257,-18.565,-15.529,-19.028,-14.08,-7.3003,-17.556,2.9156,-6.5719,-0.83782,-4.9543,-5.1652,-12.345,1.1193
47,1.0293,9.4333,1.2121,8.1853,10.852,5.6861,7.1103,2.3766,-11.701,2.5222,3.6333,-2.8704,4.7785,6.1115,-11.01,3.0675
48,-2.2929,10.777,2.8686,8.3374,10.974,6.6171,10.708,6.3327,7.7219,-3.564,8.9223,-4.8172,8.2882,9.4962,1.9402,5.7656
49,-3.2544,1.8397,4.0969,7.2013,8.4813,2.1159,12.441,4.5389,12.36,-6.9245,17.811,-6.4861,15.557,17.109,11.985,16.703
50,-10.601,15.871,16.086,14.78,15.8,18.127,23.985,21.847,16.573,-4.7981,27.45,-10.814,33.666,29.807,18.596,23.343
51,1.28,-8.5532,0.60884,-7.8211,-8.3612,-4.2597,0.55925,6.5575,9.57,9.6168,-3.9413,7.2068,1.4872,-1.227,25.831,-4.3366
52,11.455,-22.966,-13.67,-24.054,-24.54,-19.656,-18.663,-9.0679,-17.726,12.177,-21.443,11.458,-18.559,-19.816,8.8358,-22.884
53,8.966,-2.8534,-3.0509,-3.0971,-3.8775,-1.3065,-8.7801,-4.9403,-20.982,15.483,-6.9905,15.805,-5.2425,-7.2596,-4.0389,-12.085
54,4.4615,0.050239,1.1382,-1.4935,-4.5271,-0.15738,-3.0912,-1.8927,-8.9431,6.7499,-1.6465,3.8864,-3.1019,-6.2163,-8.2866,-7.0649
55,6.9351,4.5934,3.805,1.6814,-1.6309,1.2183,-5.2669,-4.5147,-3.9834,12.166,-6.5802,10.252,-11.745,-12.979,-10.129,-10.012
56,3.5684,23.252,18.497,22.231,20.434,21.125,9.5899,5.1009,-0.5777,4.5811,6.0071,-0.048667,1.9152,4.7529,-6.0818,7.3326
57,-2.5137,32,30.509,31.986,29.08,33.198,30.182,17.675,7.8086,0.037368,26.489,-1.3398,23.438,26.672,14.793,24.719
58,0.22837,7.5442,11.082,7.7437,6.7191,6.862,15.908,8.9541,8.3719,-8.8428,14.076,-5.7387,10.235,13.762,12.949,13.739
59,5.788,-1.6237,-3.4678,-1.2675,-2.3651,-7.3963,4.7733,-4.2383,8.5456,4.0374,-7.7798,9.3469,-12.223,-8.3999,4.2339,-8.6086
60,6.9021,4.5637,3.7395,1.6163,-1.6486,1.231,-5.2471,-4.5227,-3.9842,12.122,-6.6335,10.238,-11.751,-13.017,-10.219,-10.012
