NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-8.5088,-9.4187,-11.135,-15.774,5.1525,-10.755,-13.455,-6.4704,-1.7698,2.2681,-8.2954,-6.1132,-2.8979,-2.3505,-12.861,-16.828
1,-11.472,-2.4613,-6.3432,-5.99,-2.7328,-5.8458,-5.6759,-1.0872,-3.7864,-9.6176,-1.5068,2.7629,5.3876,7.2695,-1.0411,9.4198
2,-9.3729,-10.753,-14.998,-16.056,4.5633,-14.547,-13.884,-9.4899,1.3501,-0.53859,-10.569,-10.154,-5.9098,-3.8603,-8.4526,-5.2759
3,-3.9571,-21.248,-9.9115,-8.8945,-3.2199,-12.273,-10.364,-5.9835,-10.633,3.5159,-8.264,-13.546,-13.272,-9.534,-12.294,-8.9245
4,5.0334,-5.4746,0.29375,-1.2168,-6.0847,-2.1654,-1.0718,-0.82949,-3.0431,-9.815,-2.0411,-2.8561,-2.4085,0.29053,2.4211,9.5185
5,-8.5088,-9.4187,-11.135,-15.774,5.1525,-10.755,-13.455,-6.4704,-1.7698,2.2681,-8.2954,-6.1132,-2.8979,-2.3505,-12.861,-16.828
6,-11.472,-2.4613,-6.3432,-5.99,-2.7328,-5.8458,-5.6759,-1.0872,-3.7864,-9.6176,-1.5068,2.7629,5.3876,7.2695,-1.0411,9.4198
7,-9.3729,-10.753,-14.998,-16.056,4.5633,-14.547,-13.884,-9.4899,1.3501,-0.53859,-10.569,-10.154,-5.9098,-3.8603,-8.4526,-5.2759
8,-3.9571,-21.248,-9.9115,-8.8945,-3.2199,-12.273,-10.364,-5.9835,-10.633,3.5159,-8.264,-13.546,-13.272,-9.534,-12.294,-8.9245
9,5.0334,-5.4746,0.29375,-1.2168,-6.0847,-2.1654,-1.0718,-0.82949,-3.0431,-9.815,-2.0411,-2.8561,-2.4085,0.29053,2.4211,9.5185
10,-8.5088,-9.4187,-11.135,-15.774,5.1525,-10.755,-13.455,-6.4704,-1.7698,2.2681,-8.2954,-6.1132,-2.8979,-2.3505,-12.861,-16.828
11,-11.472,-2.4613,-6.3432,-5.99,-2.7328,-5.8458,-5.6759,-1.0872,-3.7864,-9.6176,-1.5068,2.7629,5.3876,7.2695,-1.0411,9.4198
