NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
35,-0.99703,0.44543,-9.7885,-14.834,-2.026,-11.41,-14.672,-13.877,-2.4056,2.5287,-0.38044,-5.2984,-0.46581,-1.9378,0.94146,1.923
36,-13.595,-5.2019,-18.718,-23.082,-4.3832,-22.401,-20.409,-22.966,-16.604,-11.986,-13.927,-19.008,-12.198,-13.22,-5.6635,-8.2067
37,-11.277,-4.3001,-6.6403,-3.4163,-11.228,-8.2104,-3.0536,-5.4449,-24.194,-13.276,-11.403,-14.341,-9.9933,-10.772,-7.7543,-6.1383
38,5.0575,5.5352,-1.8073,-2.0146,-4.9436,-0.085128,-1.9827,-2.6215,-9.8656,-7.3972,1.8378,-1.2502,-1.8305,-2.1716,-2.7285,-2.5585
39,-1.9646,8.4186,-5.0996,-6.1376,5.788,-2.7233,-5.8543,-5.1023,-3.5366,-8.543,0.18883,-2.4038,-5.1116,-2.7198,-6.0457,-11.144
40,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
41,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
42,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
43,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
44,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
45,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
46,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
47,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
48,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
49,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
50,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
51,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
52,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
53,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
54,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
55,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
56,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
57,-5.1917,-2.7545,-0.25235,1.6633,-0.62114,1.8333,1.1915,4.7878,0.4295,-7.3996,-11.839,-8.6736,-16.184,-9.6959,-13.683,-5.8905
58,10.228,3.4332,8.6853,10.594,-3.6614,12.217,14.204,14.107,6.943,-2.1315,8.3644,5.3836,1.5732,9.0501,2.6054,5.0296
59,1.1359,5.0632,-2.934,-0.79876,2.2718,-1.9648,2.2782,-3.4182,1.9331,1.9369,6.448,-0.54951,-0.95752,5.9224,3.3172,1.4564
60,3.4859,-3.5179,0.69595,-0.69734,3.3705,5.7409,-1.1403,4.1698,3.0377,9.4929,-0.3044,8.6818,3.8339,0.89513,5.8374,0.9215
61,-7.0844,-4.1788,-6.3239,-9.1373,0.50035,-0.38086,-5.9198,-3.343,0.89955,8.1267,-1.2867,6.1346,-3.8942,-2.7163,7.7315,-0.87081
