NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-10.504,-1.6247,1.3174,-0.022003,-1.161,-3.1708,6.1526,0.91302,-9.5563,-17.096,-6.6228,-13.129,-0.12368,9.6659,-4.2801,10.546
1,-8.3577,-17.65,-6.064,-11.267,-12.963,-14.853,-4.252,-9.8744,-5.5327,-11.203,-22.922,-4.9724,-14.283,-2.642,-4.7136,-7.3265
2,-8.5068,-25.286,-13.338,-14.954,-15.572,-20.742,-9.5811,-17.826,-10.351,-12.965,-36.195,-8.3955,-28.91,-14.775,-8.1238,-22.018
3,-7.144,-19.066,-14.912,-11.771,-8.0115,-16.406,-12.742,-21.102,-9.2913,-3.108,-38.152,1.5054,-29.959,-15.075,-11.374,-20.39
4,-12.066,-3.2054,-5.0979,-4.1851,2.9212,0.57765,-3.8266,-5.7605,-14.977,-14.602,-8.1436,-12.157,0.5182,13.864,-16.506,2.5616
5,-10.604,-4.2183,-3.865,-5.577,2.8521,1.4877,1.5782,3.2674,1.7469,-9.1395,4.7593,-8.6647,12.353,18.639,4.312,15.007
6,-5.5093,2.9041,-0.67782,-2.7646,4.2165,10.954,-0.34473,1.5703,-1.1261,5.1627,5.592,3.7285,6.931,10.052,7.3997,7.6585
7,-4.6936,8.3216,7.6298,6.9121,13.029,22.101,4.6464,6.7473,2.3503,3.6559,14.71,1.8221,12.861,11.245,7.809,11.323
8,2.9527,2.7549,4.2904,0.60167,2.6636,11.749,3.908,1.9301,11.984,10.068,15.837,13.882,8.7453,5.2365,18.359,5.6522
9,1.2713,21.738,13.46,16.992,16.703,23.275,13.464,4.8998,6.4391,6.3788,13.958,7.9367,2.6389,-0.62578,7.3603,-2.3715
10,11.516,-5.9267,2.5721,-7.2188,-4.7753,-2.5543,11.223,1.0685,13.032,2.5338,12.453,1.0803,8.0714,3.6802,10.622,8.2429
11,8.6955,2.1186,-0.54923,-1.6404,-3.1329,-4.2583,-0.54874,-11.398,-3.6144,12.242,-17.711,8.1525,-14.939,-19.214,-7.6723,-15.025
12,-6.9132,12.699,6.8229,10.44,9.0006,7.0506,6.5328,-3.324,-15.928,-0.89227,-1.9343,-8.7161,5.9046,2.148,-21.28,3.3902
13,-8.4084,7.2621,8.4872,9.4889,6.2204,5.9964,10.049,6.9845,-6.345,-6.0961,3.2735,-13.796,14.307,10.63,-2.4395,9.792
14,-8.4548,7.8539,6.1621,8.1907,5.0666,5.9528,5.7166,5.0686,-3.4258,-5.604,2.044,-12.065,12.79,8.0556,6.9773,3.8959
15,5.5076,-22.894,-15.535,-21.966,-23.58,-20.45,-19.161,-10.422,-2.3529,6.7614,-17.508,0.3396,-10.912,-16.458,-0.7647,-15.481
16,6.3736,-5.9808,-5.9727,-8.5574,-10.189,-8.1478,-13.689,-4.0607,-8.1417,2.76,-9.3176,0.63909,-7.5337,-13.554,-11.915,-12.535
17,4.9134,5.985,5.1679,2.5315,1.7833,5.1509,0.71077,4.2153,-4.5294,1.9432,11.464,4.8317,7.38,4.5119,-4.3899,3.4321
18,11.711,-10.181,-7.438,-11.978,-12.266,-9.7231,-8.8553,-2.5867,0.32525,4.8423,0.53375,8.2722,-8.1842,-11.839,-5.614,-12.26
19,7.4958,3.4005,-2.0664,4.7945,1.4405,1.9185,-1.2655,-0.7995,1.9549,11.555,8.5689,13.01,-1.7797,-8.4706,-13.438,-7.0027
20,8.407,-6.0999,-2.7305,-3.2808,-5.221,-7.7913,-9.0289,0.17614,16.529,6.9369,3.0773,9.5585,-3.9482,-5.1044,-0.57828,-1.1047
21,9.658,-3.0659,-1.6267,-0.97038,-3.5176,-6.8943,-7.5595,1.0348,1.8768,6.2026,-2.0315,2.0687,-0.7131,-0.90597,-3.4496,1.9587
22,12.312,-8.8613,-6.9653,-8.0271,-10.518,-11.872,-7.4514,-5.8177,-6.7915,13.625,-13.414,6.1636,-6.2442,-3.5491,-10.377,-3.8809
23,18.205,-19.731,-14.75,-19.049,-21.105,-21.42,-18.244,-14.888,-12.144,13.467,-26.752,3.7736,-21.021,-17.031,-17.827,-20.392
24,8.52,16.401,3.0053,15.931,13.447,10.023,-8.8016,-4.8008,-10.776,23.84,-21.53,16.918,-16.355,-15.134,-4.2744,-16.568
25,-6.7355,17.451,19.686,18.49,14.91,15.777,13.511,21.078,17.383,-2.317,24.365,0.15104,26.039,25.248,22.259,24.473
26,-2.5248,3.4785,2.2389,4.2166,3.3471,1.9916,5.6163,10.656,8.8902,-7.4294,7.8018,-2.5145,8.9739,6.9256,15.221,7.3317
27,1.5144,11.028,6.772,5.4596,7.2997,7.3327,9.8777,8.2844,8.6186,-2.4959,7.8511,5.6015,6.8521,4.0395,20.354,3.8374
28,3.8439,-0.83529,1.9835,-1.6126,-0.43337,-4.7779,-0.77157,-2.033,4.2144,-5.4454,0.16726,1.9648,-5.7628,-7.2085,9.8191,-7.6223
29,8.5174,-11.782,-5.6025,-6.8018,-8.3023,-14.992,-5.646,-6.9089,-7.0427,2.6235,-1.2416,6.993,-9.8314,-10.681,6.6286,-8.9078
30,8.3478,-13.996,-10.441,-4.7925,-3.0653,-13.722,-10.367,-8.0651,-7.5266,3.2737,-7.4362,4.7987,-17.843,-16.456,-0.08027,-10.369
31,-0.4867,-7.6927,-5.0842,-2.8325,-0.16772,-7.0858,-3.0056,-5.3197,-14.224,-11.232,4.7968,-11.547,0.11378,4.0365,-2.5121,6.77
32,3.2565,-26.389,-22.499,-25.532,-25.112,-27.821,-21.784,-18.648,-16.696,-6.8196,-23.865,-9.9163,-25.53,-22.332,4.1713,-14.548
33,-4.7932,-4.2444,-14.031,-1.765,-3.1913,-4.8187,-18.441,-18.597,-28.46,-4.0494,-27.953,-9.0729,-29.645,-27.903,-10.922,-20.05
34,-8.5905,9.636,5.14,8.5938,6.5989,11.085,2.0287,1.7327,-13.422,-17.701,9.6426,-17.201,6.8351,8.4155,-4.1263,11.821
35,-12.885,2.9312,1.8947,2.7572,2.8915,3.6158,-2.3062,1.1022,19.212,-14.783,1.7194,-8.1813,0.21034,-0.62339,-13.816,5.1885
36,-14.086,-0.15629,2.4894,2.2228,1.9238,4.472,-0.9055,1.7652,17.019,-12.407,4.7504,-8.5204,4.1304,2.2784,-13.031,7.0512
37,-14.575,14.025,13.918,17.371,18.428,21.12,13.942,15.269,24.191,-11.633,15.506,-10.351,15.143,13.276,-8.5061,11.62
38,-15.83,11.785,13.946,11.935,13.952,17.034,17.783,19.584,29.235,-9.3686,24.292,-3.1552,24.444,25.054,3.5854,17.232
39,-4.9366,-18.926,-8.2827,-21.913,-23.286,-15.228,-3.0224,-0.23587,23.456,-3.1986,0.29771,1.3119,-6.6255,-5.8672,1.0602,-11.948
40,-9.7859,18.578,11.453,19.652,16.863,19.004,16.551,13.007,6.3048,0.46892,19.467,3.0547,10.56,7.7126,-17.424,2.9785
41,-8.7552,15.59,13.832,16.487,15.159,14.106,24.62,17.459,20.461,-0.02005,24.464,3.1629,25.107,24.952,10.114,22.887
42,5.0538,-20.26,-11.748,-20.513,-18.292,-23.274,-2.2994,-0.70681,2.2775,1.1607,-7.569,-1.4011,-0.087645,1.6146,13.975,2.4815
43,17.958,-13.759,-17.052,-15.518,-16.444,-18.792,-19.281,-17.883,-22.247,23.197,-44.57,17.935,-32.011,-32.204,4.5861,-27.734
44,3.342,25.4,14.596,22.855,20.721,22.55,10.221,7.0946,-21.333,4.934,-2.6604,-2.3492,10.135,7.2212,5.0242,9.4765
45,-9.7859,18.578,11.453,19.652,16.863,19.004,16.551,13.007,6.3048,0.46892,19.467,3.0547,10.56,7.7126,-17.424,2.9785
46,-8.7552,15.59,13.832,16.487,15.159,14.106,24.62,17.459,20.461,-0.02005,24.464,3.1629,25.107,24.952,10.114,22.887
47,5.0538,-20.26,-11.748,-20.513,-18.292,-23.274,-2.2994,-0.70681,2.2775,1.1607,-7.569,-1.4011,-0.087645,1.6146,13.975,2.4815
48,17.958,-13.759,-17.052,-15.518,-16.444,-18.792,-19.281,-17.883,-22.247,23.197,-44.57,17.935,-32.011,-32.204,4.5861,-27.734
49,3.342,25.4,14.596,22.855,20.721,22.55,10.221,7.0946,-21.333,4.934,-2.6604,-2.3492,10.135,7.2212,5.0242,9.4765
50,-0.77263,-11.489,-10.886,-10.437,-9.5408,-13.752,-16.273,-8.5178,3.3485,-2.2434,-17.104,-0.47285,-7.8438,-9.3583,21.537,-3.7901
51,1.7356,-12.612,-12.883,-12.744,-11.581,-14.578,-23.02,-10.831,-3.4686,4.2443,-16.064,7.5532,-10.33,-13.99,10.441,-12.429
52,-0.52272,-3.5466,-4.5411,-3.6207,-3.5932,-4.5191,-11.905,-4.6328,-11.468,-5.4872,-2.8588,-5.0789,0.15144,-0.47689,-6.7665,-5.0349
53,3.9612,-5.6364,-6.8041,-7.4125,-6.0553,-8.7028,-13.262,-10.714,-12.836,1.7232,-12.307,2.8473,-11.934,-9.2789,-1.966,-12.658
54,0.40443,-7.4448,-6.4734,-6.5575,-5.0956,-6.4618,-7.5395,-6.7888,-21.542,-6.2696,-3.5941,-7.1743,-2.9689,-0.11341,-11.686,-6.3201
55,-12.884,19.943,18.003,20.78,21.015,25.687,21.251,26.33,1.4324,-19.479,39.642,-17.412,27.716,26.775,-8.131,23.216
56,-1.4543,-8.7624,-1.3386,-8.7355,-8.9607,-3.0443,1.5333,10.191,19.815,-12.517,21.521,-11.548,8.5346,5.1466,0.05647,11.137
57,4.5008,-20.624,-14.988,-22.357,-19.666,-19.315,-14.541,-9.9337,12,-4.2678,-5.8745,-4.7876,-10.802,-14.223,-12.34,-9.1262
58,12.544,-27.083,-23.66,-28.461,-28.21,-28.577,-28.39,-23.429,-0.3793,3.7392,-31.864,5.0202,-28.161,-29.138,-19.732,-22.93
59,6.6471,-14.357,-18.173,-16.613,-17.456,-18.742,-20.479,-22.961,-15.978,4.9946,-30.33,6.4059,-24.481,-23.451,-25.361,-21.456
60,-5.6603,14.946,3.0989,13.893,12.147,8.2743,9.0577,-10.259,-15.633,1.4757,-19.245,1.5702,-9.7503,-8.9327,2.784,-9.525
61,-8.3037,15.839,13.963,15.667,16.9,12.153,23.567,6.5717,-7.4934,-13.005,10.39,-12.335,18.71,23.657,23.449,20.962
62,-6.9105,7.172,9.0108,7.16,7.8064,5.232,15.483,8.9068,1.7191,-6.7894,12.21,-3.6465,16.691,18.254,28.703,16.733
63,-4.1886,15.67,10.208,14.412,13.369,13.619,10.564,9.6743,-5.4351,-1.6881,2.0776,-0.27841,0.0037718,0.5506,12.888,1.9925
64,-6.4097,20.01,18.603,19.097,14.142,23.323,21.606,17.306,-4.8231,-0.58178,23.842,2.2256,15.559,18.632,7.2726,15.127
65,9.7056,-21.066,-15.809,-20.484,-19.158,-13.588,-10.444,-6.3889,5.461,11.947,1.8778,10.599,-12.845,-18.473,-3.2183,-11.91
66,9.6482,-12.928,-15.059,-10.1,-11.07,-10.226,-6.5587,-13.013,12.106,23.755,-11.338,23.166,-17.215,-21.19,-3.2535,-20.789
67,1.136,5.1438,5.1437,12.229,10.731,3.3986,13.006,-2.0887,7.4168,11.324,-6.2188,8.5654,1.5372,1.8053,-6.0096,-1.3796
68,2.0971,4.2528,8.1197,9.8031,7.9974,1.9955,8.9235,0.072871,17.683,14.587,-13.549,13.751,1.1448,3.7675,6.5272,4.9207
69,-7.4625,11.362,11.937,14.984,16.66,6.6621,12.856,3.6982,14.922,0.87831,-6.2264,-1.4797,11.205,12.131,12.461,12
70,-4.1742,3.9731,7.8394,4.1295,5.7002,1.5422,7.0695,4.9605,6.2716,-15.326,5.8299,-14.924,15.179,19.154,26.231,17.194
71,4.4369,1.1557,4.2164,-0.20828,3.4006,1.257,0.019944,4.1872,0.35581,-1.8773,-0.62656,-1.5542,2.6983,8.9314,17.605,6.2639
72,-1.8487,10.788,7.1899,8.5694,11.38,8.1116,2.0146,2.4841,-11.179,-3.0336,-1.5293,-4.9895,0.28997,7.7183,-2.8218,5.7569
73,0.55504,8.0515,8.159,4.6423,4.454,6.1358,1.762,-0.04045,-17.041,-0.08941,5.601,-1.183,0.094792,3.895,-2.7483,7.0291
74,-2.2268,21.526,16.143,16.211,11.992,20.21,7.2982,7.4583,-11.649,-5.8979,20.278,-8.2958,4.5335,5.3545,-17.261,4.4369
75,13.613,-35.556,-24.689,-30.989,-30.035,-32.451,-15.868,-11.299,-17.235,8.5016,-21.936,8.5094,-9.7809,-15.436,-32.652,-19.098
76,6.5912,-24.578,-23.811,-16.677,-15.325,-22.351,-17.455,-19.332,-24.73,12.682,-29.318,11.534,-15.851,-19.764,-28.626,-18.387
77,1.4316,-8.5722,-8.9246,1.1479,3.4063,-3.3441,-1.7481,-10.619,-20.803,1.0512,-16.469,0.66378,-2.7284,-2.6027,-9.442,-0.24242
78,-0.92942,-1.2671,0.19798,5.6899,5.7474,5.1181,6.6966,-2.5967,-10.933,2.0875,-8.2893,0.82538,6.88,8.6488,12.908,5.1531
79,1.6735,-1.6064,0.097657,1.9866,4.628,5.9075,2.3065,6.1651,3.3293,0.8678,-6.4849,-2.4752,9.2526,11.644,23.353,7.2133
80,-1.3415,8.2634,0.54746,-1.8108,-3.5475,6.0592,7.6935,4.9923,30.13,-2.8977,26.531,-1.8556,5.5933,0.22303,-17.184,3.657
81,7.8475,-18.95,-19.955,-25.16,-24.025,-21.803,-20.618,-15.605,29.096,-3.3009,-8.5977,-1.3723,-22.168,-27.794,-30.344,-20.77
82,11.302,-13.629,-19.688,-16.029,-13.97,-19.625,-25.696,-23.122,8.9267,10.923,-27.296,12.589,-26.849,-32.139,-20.828,-27.426
83,-3.9514,12.28,1.3514,11.272,13.597,9.1062,1.0206,-3.8735,-5.1683,-4.081,-4.0304,-3.8584,3.8715,1.9079,-12.694,0.86475
84,-12.495,13.068,10.066,12.527,15.503,13.573,6.7642,7.7065,0.22543,-6.5609,5.9821,-1.3351,16.802,16.074,19.549,18.722
85,-1.3718,-10.394,-5.8188,-8.1555,-3.1779,-7.2024,-6.2199,-4.3,-12.761,-0.75672,-16.778,7.4932,-5.6069,-4.3954,21.593,-1.028
86,-2.9258,-9.8386,-2.5164,-4.2869,-1.5779,-7.0276,-7.2369,-0.19112,-16.622,-6.4338,1.4372,-2.6223,7.9026,10.231,6.2566,8.8134
87,3.0373,-11.97,-5.5939,-9.1115,-4.9029,-9.2789,-10.716,-2.8409,-9.1441,0.97168,6.7263,4.2778,2.053,7.2332,15.929,1.8701
88,-1.0714,12.865,6.6305,14.739,16.905,13.125,3.5897,5.9233,-17.328,-1.5043,21.553,-2.634,7.7944,12.782,9.3805,2.6071
89,-8.1884,25.097,24.551,24.271,24.087,28.044,23.887,25.964,-7.4662,-9.2946,47.211,-7.2474,31.448,33.126,21.308,29.224
90,-7.1525,11.988,20.676,6.9724,5.2292,17.676,19.505,22.938,9.7364,-11.756,40.372,-9.8698,21.264,19.788,23.364,17.161
91,3.2463,-3.2766,4.7647,-9.6267,-14.537,0.71369,-3.1548,4.322,7.9664,3.2567,12.224,2.3906,-10.988,-14.572,9.5273,-13.361
92,-0.52237,-8.4203,-3.1539,-11.251,-15.839,-1.7107,-8.7406,-3.0474,-6.4068,5.3139,7.674,2.4325,-15.016,-19.061,-12.988,-15.745
93,3.3069,-15.777,-5.9353,-11.719,-14.053,-9.4747,-4.8719,-1.3482,-13.017,6.6183,-1.1616,0.5052,-16.502,-18.222,-19.313,-19.229
94,10.265,-29.138,-15.022,-21.747,-20.147,-25.179,-9.4394,-8.6341,-15.424,14.998,-15.024,7.1349,-16.234,-15.958,-19.106,-19.056
95,0.29777,-14.395,-15.045,-6.3896,0.10687,-18.689,-14.389,-19.537,-10.068,13.922,-32.693,8.1571,-12.543,-11.963,-17.146,-12.113
96,2.8972,-22.743,-19.98,-13.805,-5.9815,-23.28,-14.856,-15.714,-5.0242,2.4875,-27.243,-3.1444,-4.9804,-2.2699,-17.923,-0.10909
97,1.3026,-9.696,-12.899,-1.3685,4.9214,-5.9079,-5.6179,-8.4487,-2.796,10.916,-25.205,5.414,-3.3403,-2.2454,-5.348,-0.82503
98,8.7414,-23.57,-18.573,-18.987,-11.976,-21.691,-13.014,-12.282,3.577,3.3683,-21.563,-0.87236,-2.7415,-3.6013,3.8397,-1.0826
99,3.1108,-2.3437,-7.9788,-4.1715,-1.886,-6.373,-7.7152,-14.676,10.476,6.8772,-18.081,5.9094,-7.5868,-8.7472,6.0373,-4.599
100,-3.0696,4.6506,2.5901,-1.6114,-5.441,2.9214,2.9836,1.8222,22.383,-8.6236,10.033,-2.4267,4.2283,-0.19925,-0.71644,3.1126
101,-2.5397,14.512,8.5538,8.1952,2.2857,10.208,9.7705,4.3517,4.6226,-12.487,6.9419,-6.2369,-3.3478,-2.3175,-19.999,-1.8444
102,-1.5159,31.346,16.47,24.945,15.825,21.893,15.121,5.7142,-2.4168,3.0722,5.5333,7.7259,-8.7862,-3.4436,-10.012,-2.2608
103,-2.8155,16.768,15.296,15.703,6.4585,10.73,17.2,13.485,-3.6253,-10.551,19.135,-7.8965,9.2658,15.124,-4.7545,9.3428
104,-3.083,23.811,20.403,23.247,15.538,16.453,17.627,13.628,4.349,0.37987,6.6844,6.2478,5.3867,10.461,3.4648,3.3785
105,-1.0208,2.4942,7.2901,4.1059,-0.18758,-3.0631,12.931,6.8665,12.165,-6.9371,-3.286,0.50347,8.7266,18.83,19.762,14.149
106,-3.7313,2.3104,4.7283,4.2223,0.20048,-3.132,5.1258,3.1577,-3.811,-9.5366,-9.0868,-3.1147,0.59937,9.3173,8.308,3.3076
107,-4.8188,16.902,13.344,19.879,15.92,13.909,14.326,9.2923,0.12924,-4.1024,-4.3079,5.1764,2.1875,9.9193,6.1141,2.8199
108,-6.2452,5.6083,9.231,9.741,9.4704,8.2678,18.705,11.476,9.326,-13.336,15.153,-5.4549,22.384,27.048,7.1077,21.167
109,5.165,-15.504,-6.0409,-11.934,-11.944,-12.998,1.3717,-1.4977,10.552,-2.5396,-0.62262,2.5973,4.8535,4.7853,20.688,6.6725
110,3.6743,4.8376,6.1129,7.3237,5.1546,2.8805,5.544,4.244,-16.042,3.1429,7.0475,1.3667,7.5061,3.328,0.28811,3.1759
111,4.9181,-14.906,-5.435,-12.992,-11.377,-11.558,-7.2613,-5.5736,0.2213,-0.099832,11.293,-2.4688,5.6645,1.7137,-3.1122,8.4363
112,8.1624,-18.565,-13.349,-18.972,-14.496,-12.151,-18.685,-14.17,-2.4808,3.8493,-4.6517,-0.68138,-15.94,-19.096,-16.435,-6.513
113,-9.9428,26.407,14.493,22.209,27.265,30.908,9.5513,5.5767,1.2235,1.6658,19.052,-5.3268,3.6961,4.252,-24.708,8.4316
114,-8.8045,11.339,15.218,9.2248,19.271,20.202,24.393,18.026,13.708,-12.564,36.596,-17.368,27.604,32.949,-4.2932,36.359
115,3.2157,-18.924,-9.9019,-17.454,-6.0548,-8.4899,3.4526,-2.0275,9.9904,-0.77642,2.6062,-0.31962,2.4048,11.009,2.8135,16.869
116,4.8809,-22.179,-16.722,-20.45,-9.798,-11.434,-12.95,-13.574,-7.4498,0.98092,-19.925,1.1686,-16.616,-5.7668,-9.3302,-5.5108
117,1.8463,-8.1083,-6.9694,-7.1182,2.6905,3.1957,-7.6325,-8.6432,-17.247,6.5977,-13.463,3.3573,-6.073,2.1393,-4.2403,-4.0849
118,4.487,-15.318,-11.472,-17.438,-6.5113,-6.7936,-14.569,-8.5336,-16.571,3.8178,-16.096,-1.9619,-6.159,-2.8709,2.5675,-9.1348
119,7.0323,-12.297,-11.02,-13.115,-4.9682,-6.9433,-17.031,-11.195,-11.674,12.854,-20.854,7.5271,-12.773,-11.917,2.1361,-18.16
120,-2.8534,20.876,14.097,18.905,18.266,25.847,18.997,12.892,11.791,1.4951,16.213,-1.4182,17.177,12.307,7.4218,4.4546
121,-4.8738,15.227,13.757,13.518,10.536,17.377,17.732,16.197,23.097,-7.7236,25.337,-9.152,22.932,16.94,12.55,10.747
122,-4.8528,5.1395,10.112,7.0846,-1.6789,5.8656,5.5645,7.6909,18.701,2.7084,13.07,3.2002,8.2385,1.2412,18.189,2.9387
123,-7.4355,7.5558,7.2385,5.453,-3.2446,7.1726,1.5366,5.3742,3.1511,-0.7425,10.809,-5.8582,1.5315,-5.9378,2.9102,-6.8753
124,-0.84711,7.027,0.99182,-1.1995,-7.9666,2.8305,-5.0435,2.7995,9.815,8.6037,7.5903,4.6396,-3.0267,-11.944,6.1283,-10.954
125,1.1397,-2.6572,-6.6807,-8.4064,-12.8,-6.8246,-9.2268,-0.36089,11.458,5.9341,3.1048,-0.065042,-2.4363,-11.752,8.2186,-7.7317
126,-2.479,0.34594,-2.7808,-1.8398,-3.7594,-1.081,-6.2267,-1.999,3.1298,7.0014,2.4577,-0.32384,3.8421,-3.1976,9.1457,-0.66525
127,-4.8432,-4.5399,-6.5365,-8.3861,-7.8698,-7.8335,-13.621,-7.4417,0.94884,1.4659,-6.225,-10.412,-1.3756,-5.1094,10.598,-2.5101
128,-1.5967,-13.47,-10.146,-15.789,-15.239,-20.198,-18.004,-12.849,-1.105,8.4173,-16.957,-1.8933,-10.632,-13.479,6.1823,-11.583
129,-3.2592,-22.118,-13.962,-14.933,-14.66,-27.02,-16.794,-20.487,-15.262,1.5754,-22.878,-6.3319,-13.615,-13.754,-14.587,-16.852
130,-6.1031,2.0835,-1.0532,-1.3653,0.0213,-0.36264,-0.7103,-3.5847,-22.468,-5.4881,0.68441,-3.4598,3.8984,4.9594,-8.7341,3.3107
131,5.8568,-11.611,-6.4796,-10.013,-10.751,-11.891,-2.4687,-8.224,-9.0873,0.11983,-10.122,3.3062,-11.662,-9.9727,-8.2559,-5.0288
132,12.132,-11.329,-6.2541,-9.2021,-12.418,-12.584,-4.8774,-6.8511,-2.7505,2.2449,-9.1806,7.8471,-12.477,-11.21,-12.994,-12.248
133,17.569,-7.1718,-6.8819,-11.7,-12.815,-11.313,-9.5325,-4.0001,-2.0187,5.0197,-9.4546,13.925,-12.675,-13.602,-16.01,-12.543
134,7.5293,17.769,9.9579,15.053,13.091,13.738,6.1685,1.7792,0.36208,4.7022,-1.9715,11.727,-2.7192,-1.4687,-22.659,-3.2802
135,8.2918,6.7201,6.8391,5.9849,4.6864,2.2157,7.0683,5.9558,20.445,-0.52404,7.9628,7.1778,6.4232,8.5041,5.2813,12.045
