NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37,4.6423,-5.2838,-3.1457,2.0063,1.2221,-4.3475,-1.3439,-6.9989,-7.2609,17.419,-17.055,9.6872,-13.196,-4.4882,-7.3712,-10.165
38,-3.6859,16.481,15.659,23.223,21.542,16.95,12.974,18.106,-10.515,10.08,6.7928,4.1877,12.405,14.072,0.98758,-1.7807
39,-4.9597,17.615,17.164,21.072,21.409,20.284,18.847,23.898,-5.1349,-2.9491,26.408,-6.013,31.074,27.616,9.1554,17.269
40,6.3751,-12.392,-13.598,-15.485,-12.66,-10.318,-14.235,-8.8218,-5.0397,6.1055,-6.6834,9.7275,-2.112,-12.901,2.9524,-13.882
41,-0.80821,1.3792,-2.6178,-1.2987,0.18733,1.3246,-1.3908,4.3007,-7.8751,3.1218,5.3449,5.2188,7.9983,-1.2793,-4.7076,-5.5259
42,-2.9067,1.7579,-0.79434,2.5038,4.1902,6.207,1.8841,6.7997,-3.916,4.6819,10.901,7.676,11.839,5.3831,6.032,3.0334
43,-3.6458,-0.41045,-1.0877,0.47429,3.1238,2.0713,-2.4003,-0.96098,-3.1339,0.047438,1.601,-0.67687,2.0614,0.58069,11.792,7.3305
44,-9.3448,12.291,9.1019,8.0896,8.508,7.9828,5.9118,0.36496,-1.3805,-4.6687,6.5286,-5.4096,1.4126,6.269,6.8912,12.656
45,-8.7903,5.4052,8.3077,0.74322,2.3462,1.4829,1.0033,-4.1094,7.8091,-10.068,-4.1166,-11.701,-17.962,-8.6014,-4.189,8.0592
46,-1.234,-10.173,-5.7116,-14.104,-15.992,-10.772,-8.5406,-12.25,11.848,-7.4983,-10.629,-12.937,-18.645,-13.209,-8.8773,-6.8438
47,6.5341,-15.788,-12.398,-16.798,-22.486,-16.669,-12.995,-17.956,11.455,8.4426,-20.034,2.8581,-24.059,-21.139,-5.449,-21.006
48,4.7896,0.11677,-2.8129,-0.18488,-6.2497,-3.5493,-1.952,-5.706,6.9132,11.676,-18.317,3.7816,-19.864,-19.756,-10.603,-19.196
49,-1.4352,12.291,9.1055,13.274,11.215,10.16,11.235,12.375,4.8575,7.3235,2.3285,4.3507,9.6731,4.3004,-1.0175,1.145
50,1.1636,-11.555,-10.824,-9.6383,-12.903,-13.505,-12.898,-8.5272,7.3334,10.726,-13.9,16.49,-2.2579,-7.1347,10.932,-3.9263
51,-2.3215,2.5828,1.79,5.4878,4.8345,1.8689,5.8683,2.3848,-2.9894,8.287,-6.8366,12.269,2.0632,0.20925,2.9216,-3.9339
52,2.9015,1.3582,3.2192,4.0878,6.6521,2.6939,8.1968,6.7298,-8.0553,4.3969,3.6202,7.9051,11.028,11.305,8.9077,4.977
53,1.2835,5.0699,5.9961,9.1934,15.054,6.2557,9.3877,7.9189,-6.6508,-2.5445,5.656,-0.2883,9.4328,11.858,4.483,7.4935
54,-3.081,10.37,9.2451,13.336,18.945,8.9694,11.885,8.6877,-0.12146,-5.3571,7.9223,-0.73776,8.3506,11.281,6.0009,13.801
55,-2.3215,2.5828,1.79,5.4878,4.8345,1.8689,5.8683,2.3848,-2.9894,8.287,-6.8366,12.269,2.0632,0.20925,2.9216,-3.9339
56,2.9015,1.3582,3.2192,4.0878,6.6521,2.6939,8.1968,6.7298,-8.0553,4.3969,3.6202,7.9051,11.028,11.305,8.9077,4.977
57,1.2835,5.0699,5.9961,9.1934,15.054,6.2557,9.3877,7.9189,-6.6508,-2.5445,5.656,-0.2883,9.4328,11.858,4.483,7.4935
58,-3.081,10.37,9.2451,13.336,18.945,8.9694,11.885,8.6877,-0.12146,-5.3571,7.9223,-0.73776,8.3506,11.281,6.0009,13.801
59,-0.56158,-0.45987,-2.6542,0.60617,5.0895,-0.90765,-1.0617,-0.7341,5.4207,-7.9752,9.5958,-6.9518,6.2234,9.6614,3.8227,10.581
60,3.5696,-10.282,-9.1364,-8.2754,-2.7583,-3.8554,-8.5823,-6.8543,6.339,-4.3006,5.6774,-6.1835,-1.3807,0.96076,-1.2831,3.1632
61,2.3021,-5.9088,-7.8782,-8.2795,-9.8394,0.79367,-9.3402,-8.0885,5.7343,0.027241,-7.0372,-2.9629,-15.038,-14.938,-12.536,-9.9336
62,4.3307,-14.062,-13.832,-17.202,-22.081,-8.5964,-16.703,-11.634,3.442,-0.72275,-5.9797,-2.0408,-13.947,-15.218,-11.904,-11.586
63,1.3404,-12.379,-10.562,-10.957,-14.884,-7.6386,-11.49,-8.6444,-1.9789,2.0922,-7.3399,2.0991,-14.9,-15.349,-14.516,-17.388
64,-4.1821,-9.0331,-7.6977,-7.7699,-10.169,-6.514,-8.4886,-5.7662,-6.7847,-1.9238,-11.809,-1.3952,-12.055,-14.659,-16.751,-13.889
65,-4.2237,-4.7335,-2.3451,-3.2199,-5.0721,-4.8692,-2.5389,-0.82377,-5.5207,1.6253,-12.309,2.3532,-7.6493,-10.857,-14.267,-9.223
66,-11.869,20.118,19.36,21.816,20.312,17.647,23.08,20.043,-8.7335,0.65922,4.1597,-1.0454,8.8815,9.2198,-12.115,2.0845
67,-13.153,24.388,23.314,22.895,24.26,25.602,30.071,27.361,-2.7458,-4.0883,24.704,-5.312,28.385,31.104,5.7661,20.457
68,-1.43,1.1463,1.2225,-2.8552,-2.1354,4.2001,5.0087,6.3517,3.7391,-3.8846,9.7834,-4.2137,12.508,11.909,17.488,5.135
69,3.7818,-2.3093,-3.8996,-5.5057,-7.4183,0.54937,-1.7917,-0.087729,2.6556,8.0141,1.8211,7.1815,1.9853,-0.65346,14.746,-4.0393
70,-2.8961,8.2819,3.1224,6.1418,8.5287,7.5811,3.3586,4.8253,3.243,10.861,5.7213,8.557,4.7582,4.0618,10.258,-0.76006
71,-4.1795,8.9526,7.0815,8.1607,8.9784,6.8939,8.8315,6.7314,-0.14704,-2.5249,19.192,-6.649,17.611,16.413,7.312,14.286
72,11.37,-8.9864,-3.6159,-6.7911,-6.9005,-10.575,-3.8796,-10.147,7.5579,7.5735,1.8674,2.7738,0.55858,0.11209,16.117,8.4387
73,16.861,-8.6699,-9.596,-9.9433,-11.203,-13.652,-10.76,-15.758,4.8174,12.507,-14.951,6.9473,-18.641,-17.768,6.8505,-8.9772
74,10.561,18.817,10.518,14.036,9.7507,11.128,7.7352,5.598,-1.3038,7.4519,0.50098,4.0171,-5.633,-7.0999,-3.9918,-3.814
75,7.3469,15.519,13.985,15.159,11.647,10.581,11.829,11.689,-1.9273,-10.807,12.763,-14.118,9.3498,6.0241,-7.3912,5.281
76,5.4509,12.5,12.877,17.984,13.786,9.8631,10.479,7.5928,5.3908,-7.6373,5.3913,-6.5544,5.3497,2.0499,-2.9175,4.2509
77,-1.146,25.588,25.203,29.998,26.792,26.329,23.849,21.086,3.7373,-22.718,21.961,-18.647,22.971,21.129,-8.2824,20.095
78,4.8451,3.7209,8.4482,7.4443,8.5748,5.2126,8.7794,11.03,9.3581,-20.966,11.752,-11.433,15.177,14.838,7.2022,19.228
79,7.2116,-16.607,-12.181,-12.344,-9.6391,-16.893,-12.895,-6.2061,8.3651,-14.16,-9.5585,-6.7434,-5.4609,-2.7757,2.7295,0.51899
80,7.9567,-25.763,-21.072,-24.303,-22.431,-27.116,-26.63,-19.249,0.78046,-3.8388,-22.886,2.581,-17.475,-15.737,-5.1035,-12.798
81,1.7493,-15.054,-15.392,-15.243,-12.189,-19.537,-16.892,-16.471,-7.6758,0.15199,-26.262,4.3406,-21.883,-21.457,-12.905,-19.527
82,0.60194,-9.9009,-11.23,-12.697,-9.9443,-13.812,-9.4037,-11.228,-8.6223,-0.07605,-12.746,4.1447,-7.9202,-6.1017,-8.597,-3.269
83,4.4143,-22.185,-19.743,-21.758,-20.986,-21.192,-17.878,-21.984,-6.2464,5.2703,-19.661,5.1508,-15.223,-14.345,-6.9876,-14.077
84,0.31097,-6.8235,-5.3991,-4.2045,-3.623,-3.4402,-2.2867,-7.517,-8.6766,12.771,-11.812,7.1653,-9.9072,-12.419,-2.5584,-20.334
85,4.8484,-8.0352,-4.2879,-10.022,-9.6289,-2.3774,-4.1281,2.1184,1.4009,10.199,18.284,4.277,13.887,6.0796,10.34,-2.5426
86,-0.54566,4.4538,3.3192,2.8804,0.20191,6.01,6.6766,5.5762,2.8511,17.996,11.891,12.899,6.9561,-0.10787,3.6553,-7.7051
87,-8.2213,7.0743,1.9715,0.75304,-1.0916,5.5236,0.38948,-1.2045,-0.20899,14.22,5.3849,5.5568,-3.1641,-3.9825,3.4437,-2.3121
88,-10.37,1.7189,-1.4187,-2.5764,-4.3272,-0.1768,-6.8124,-5.3605,-1.7881,9.0067,-0.52073,0.74951,-9.647,-1.1231,3.7795,2.1529
89,-10.582,1.5021,1.8887,-1.4067,0.87315,1.293,-3.3547,-1.1041,-4.9525,-2.2834,-2.5742,-6.8259,-8.0486,7.6379,-2.5275,6.8061
