0.48888,0.58086,0.5583,0.47599,0.48233,0.4597,0.58636,0.57837,0.4128,0.40075,0.39708,0.41793,0.59807,0.40384,0.51705,0.38819,2
0.61766,0.53308,0.55415,0.54094,0.53562,0.60846,0.51301,0.57121,0.56458,0.58165,0.56341,0.60749,0.42836,0.54967,0.46133,0.53446,2
0.50969,0.50089,0.47545,0.47711,0.47231,0.48608,0.50652,0.5282,0.55286,0.52393,0.51507,0.59247,0.4777,0.52197,0.55777,0.5246,2
0.51771,0.51417,0.50084,0.5595,0.45589,0.50434,0.51314,0.53084,0.55595,0.5446,0.49948,0.54859,0.46543,0.50801,0.53678,0.48852,2
0.53616,0.50379,0.49873,0.54614,0.55647,0.57139,0.50625,0.51339,0.52664,0.54936,0.4809,0.52331,0.48482,0.51165,0.51868,0.50432,2
0.54813,0.45672,0.47053,0.44387,0.5901,0.57755,0.46318,0.46982,0.53397,0.50841,0.55244,0.49887,0.51674,0.54627,0.57174,0.59492,8
0.42326,0.52586,0.52969,0.50182,0.46253,0.45638,0.4807,0.53431,0.4656,0.44766,0.50154,0.42879,0.5278,0.49794,0.53158,0.51437,8
0.50216,0.46708,0.57111,0.35818,0.50678,0.46536,0.52637,0.56603,0.45374,0.46092,0.48928,0.51054,0.51591,0.50204,0.44904,0.50225,8
0.51794,0.50067,0.50378,0.46853,0.49486,0.54006,0.53032,0.51843,0.46959,0.55041,0.5636,0.58857,0.50405,0.52021,0.47842,0.48619,8
0.57008,0.49826,0.4622,0.50862,0.52736,0.57897,0.51252,0.49135,0.50664,0.56727,0.53783,0.60458,0.45871,0.53621,0.49068,0.55523,8
0.51829,0.54291,0.53341,0.42246,0.57212,0.52497,0.48152,0.49961,0.54636,0.52925,0.57365,0.49249,0.50049,0.57101,0.5148,0.51936,8
0.50325,0.49601,0.51578,0.48846,0.50611,0.48423,0.52125,0.52161,0.5185,0.5131,0.48284,0.51092,0.46988,0.4726,0.50779,0.51638,8
